area,description,house,layout,position,price,sale,style,tags,village,zone
17㎡,https://sz.zu.ke.com//zufang/SZ2529635845523652608.html,城市3米6公寓,1室1厅1卫,东南,2000 元/月,null,整租,"官方核验,随时看房",福田保税区,福田区
10㎡,https://sz.zu.ke.com//zufang/SZ2479798614151667712.html,广博星海华庭,1室0厅1卫,东西,2300 元/月,null,合租,"官方核验,近地铁,精装,随时看房",蛇口,南山区
28㎡,https://sz.zu.ke.com//zufang/SZ2493539672488689664.html,天安公寓,1室0厅1卫,东南,2300 元/月,null,整租,"官方核验,近地铁",南山中心,南山区
20㎡,https://sz.zu.ke.com//zufang/SZ2459331203590275072.html,天安公寓,1室0厅1卫,东南,2200 元/月,null,整租,"官方核验,近地铁",南山中心,南山区
6㎡,https://sz.zu.ke.com//zufang/SZ2555722591494995968.html,公路局大院,4室1厅1卫,北,1330 元/月,null,合租,"新上,公寓,精装,押一付一,随时看房",翠竹,罗湖区
15㎡,https://sz.zu.ke.com//zufang/SZ2409345510298361856.html,景贝南小区,1室0厅1卫,南北,1800 元/月,null,整租,"官方核验,近地铁,随时看房",黄贝岭,罗湖区
13㎡,https://sz.zu.ke.com//zufang/SZ2555731511286702080.html,铁路小区,4室1厅1卫,北,1760 元/月,null,合租,"新上,公寓,精装,押一付一,随时看房",万象城,罗湖区
27㎡,https://sz.zu.ke.com//zufang/SZ2553637963074371584.html,迷你新居福田,1室0厅1卫,西北,3000 元/月,null,整租,"官方核验,新上",梅林,福田区
28㎡,https://sz.zu.ke.com//zufang/SZ2500856369931100160.html,八卦岭宿舍,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,近地铁,随时看房",八卦岭,福田区
32㎡,https://sz.zu.ke.com//zufang/SZ2505634599514669056.html,鹏盛村,1室0厅1卫,北,2000 元/月,null,整租,"官方核验,随时看房",八卦岭,福田区
33㎡,https://sz.zu.ke.com//zufang/SZ2554407739191197696.html,五十小区翠桐雅苑小区,1室1厅1卫,北,2300 元/月,null,整租,"官方核验,新上",沙头角,盐田区
51㎡,https://sz.zu.ke.com//zufang/SZ2481836275158482944.html,水云间雅居,1室1厅1卫,东南,2800 元/月,null,整租,"官方核验,随时看房",梅沙,盐田区
31㎡,https://sz.zu.ke.com//zufang/SZ2484550215584464896.html,云顶天海,1室1厅1卫,东南,2000 元/月,null,整租,"官方核验,精装",梅沙,盐田区
37㎡,https://sz.zu.ke.com//zufang/SZ2491274334509998080.html,福苑,1室1厅1卫,北,3200 元/月,null,整租,官方核验,沙头角,盐田区
20㎡,https://sz.zu.ke.com//zufang/SZ2496284556391620608.html,田苑小区,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁",翠竹,罗湖区
38㎡,https://sz.zu.ke.com//zufang/SZ2546869464142446592.html,湖馨苑,1室1厅1卫,南,3400 元/月,null,整租,"公寓,月租,近地铁,精装,随时看房",笋岗,罗湖区
20㎡,https://sz.zu.ke.com//zufang/SZ2498380053772517376.html,红群楼,1室0厅1卫,东,1870 元/月,null,整租,"官方核验,近地铁",地王,罗湖区
87㎡,https://sz.zu.ke.com//zufang/SZ2507042046355972096.html,跃华园,2室1厅1卫,南,5400 元/月,null,整租,"官方核验,随时看房",南山中心,南山区
56㎡,https://sz.zu.ke.com//zufang/SZ2439075468117819392.html,中海阳光玫瑰园,2室1厅1卫,东南,5500 元/月,null,整租,"官方核验,近地铁,精装,随时看房",前海,南山区
32㎡,https://sz.zu.ke.com//zufang/SZ2531972148676280320.html,安侨苑,1室0厅1卫,南,3500 元/月,null,整租,"公寓,月租,精装,随时看房",香蜜湖,福田区
18㎡,https://sz.zu.ke.com//zufang/SZ2496327066694189056.html,华茂苑,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁",梅林,福田区
36㎡,https://sz.zu.ke.com//zufang/SZ2501989039964422144.html,朗晴馨洲,1室1厅1卫,南,4500 元/月,null,整租,"公寓,月租,近地铁,精装,随时看房",新洲,福田区
22㎡,https://sz.zu.ke.com//zufang/SZ2499301302119432192.html,高发公寓,1室1厅1卫,北,2300 元/月,null,整租,"官方核验,随时看房",华侨城,南山区
12㎡,https://sz.zu.ke.com//zufang/SZ2398853434566000640.html,前海金岸,3室1厅1卫,西,2790 元/月,null,合租,"公寓,近地铁,精装,独立阳台,押一付一,随时看房",南头,南山区
20㎡,https://sz.zu.ke.com//zufang/SZ2534550883480371200.html,海明阁,1室0厅1卫,南,2300 元/月,null,整租,"官方核验,近地铁",蛇口,南山区
15㎡,https://sz.zu.ke.com//zufang/SZ2482361024699695104.html,旭飞华天苑,1室0厅1卫,北,1600 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
8㎡,https://sz.zu.ke.com//zufang/SZ2555842979562790912.html,深宝住宅区,4室1厅1卫,南,1530 元/月,null,合租,"新上,公寓,精装,押一付一,随时看房",翠竹,罗湖区
18㎡,https://sz.zu.ke.com//zufang/SZ2464491124703117312.html,绿映居,1室0厅1卫,南,1600 元/月,null,整租,"官方核验,近地铁",布心,罗湖区
16㎡,https://sz.zu.ke.com//zufang/SZ2525874272422346752.html,城市3米6公寓,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,随时看房",福田保税区,福田区
28㎡,https://sz.zu.ke.com//zufang/SZ2504916787284951040.html,八卦岭宿舍,1室0厅1卫,南,2200 元/月,null,整租,官方核验,八卦岭,福田区
45㎡,https://sz.zu.ke.com//zufang/SZ2554370344706383872.html,瑞和园,1室1厅1卫,东南,3800 元/月,null,整租,"官方核验,新上",石厦,福田区
48-49㎡,https://sz.zu.ke.com//apartment/1309.html,null,2室1厅1卫,5间在租,3800-4510 元/月,仅剩5间,独栋,"独栋公寓,月租,有阳台,开放厨房,押一付一",null,null
34㎡,https://sz.zu.ke.com//zufang/SZ2555764496039673856.html,华逸园,1室1厅1卫,西北,2500 元/月,null,整租,"官方核验,新上,随时看房",沙头角,盐田区
35-36㎡,https://sz.zu.ke.com//apartment/1309.html,null,1室0厅1卫,5间在租,3000-3630 元/月,仅剩5间,独栋,"独栋公寓,月租,有阳台,开放厨房,押一付一",null,null
34㎡,https://sz.zu.ke.com//zufang/SZ2491991991819714560.html,华逸园,1室1厅1卫,北,2700 元/月,null,整租,"官方核验,随时看房",沙头角,盐田区
36㎡,https://sz.zu.ke.com//zufang/SZ2528050741579350016.html,金水湾御园,1室1厅1卫,西南,2500 元/月,null,整租,"官方核验,随时看房",盐田港,盐田区
27㎡,https://sz.zu.ke.com//zufang/SZ2514428109969686528.html,云顶天海,1室0厅1卫,西南,1600 元/月,null,整租,官方核验,梅沙,盐田区
18㎡,https://sz.zu.ke.com//zufang/SZ2520100368898064384.html,碧波花园南区,1室0厅1卫,南,2200 元/月,null,整租,"官方核验,随时看房",黄贝岭,罗湖区
29㎡,https://sz.zu.ke.com//zufang/SZ2487556404744036352.html,旭飞华天苑,1室1厅1卫,南,2000 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
25㎡,https://sz.zu.ke.com//zufang/SZ2547063994309681152.html,名都大厦,1室1厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁,随时看房",螺岭,罗湖区
30㎡,https://sz.zu.ke.com//zufang/SZ2555867763310592000.html,友邻公寓,1室0厅1卫,北,4300 元/月,null,整租,"官方核验,新上,近地铁,随时看房",南山中心,南山区
34㎡,https://sz.zu.ke.com//zufang/SZ2556530696638709760.html,桃苑公寓,1室1厅1卫,南,3500 元/月,null,整租,"官方核验,新上",南头,南山区
8㎡,https://sz.zu.ke.com//zufang/SZ2554950804586889216.html,欧陆经典,5室1厅2卫,北,2060 元/月,null,合租,"新上,公寓,近地铁,精装,独立阳台,押一付一,随时看房",西丽,南山区
17㎡,https://sz.zu.ke.com//zufang/SZ2503703359375015936.html,城市3米6公寓,1室0厅1卫,东,2000 元/月,null,整租,官方核验,福田保税区,福田区
33㎡,https://sz.zu.ke.com//zufang/SZ2414286433075601408.html,大众公寓,1室1厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁,随时看房",梅林,福田区
15㎡,https://sz.zu.ke.com//zufang/SZ2213781231223709696.html,莲花二村,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,近地铁",莲花,福田区
10㎡,https://sz.zu.ke.com//zufang/SZ2364388826912399360.html,荔园小区,4室1厅1卫,南,2360 元/月,null,合租,"公寓,近地铁,精装,独立阳台,押一付一,随时看房",蛇口,南山区
20㎡,https://sz.zu.ke.com//zufang/SZ2525243834179526656.html,南水小区,1室0厅1卫,南,2200 元/月,null,整租,官方核验,蛇口,南山区
18㎡,https://sz.zu.ke.com//zufang/SZ2431057414964125696.html,旭飞华天苑,1室0厅1卫,东南,1600 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
15㎡,https://sz.zu.ke.com//zufang/SZ2237389668222246912.html,贝丽花园,1室0厅1卫,北,1800 元/月,null,整租,"官方核验,近地铁",翠竹,罗湖区
38㎡,https://sz.zu.ke.com//zufang/SZ2555602044975054848.html,京基御景华城,1室1厅1卫,东北,4600 元/月,null,整租,"官方核验,新上,精装,随时看房",赤尾,福田区
11㎡,https://sz.zu.ke.com//zufang/SZ2516914753478066176.html,金地花园,5室1厅2卫,南,1650 元/月,null,合租,"租住保障,公寓,月租,近地铁,精装",上下沙,福田区
50㎡,https://sz.zu.ke.com//zufang/SZ2551283676365193216.html,裕亨花园,2室1厅1卫,南,4500 元/月,null,整租,"官方核验,近地铁",皇岗,福田区
42㎡,https://sz.zu.ke.com//zufang/SZ2551566878749769728.html,泊岸雅苑,1室1厅1卫,南,2190 元/月,null,整租,"官方核验,业主自荐,精装",梅沙,盐田区
25-252㎡,https://sz.zu.ke.com//apartment/29264.html,null,1室0厅1卫,5间在租,1900-2200 元/月,仅剩5间,独栋,"独栋公寓,月租,拎包入住,有阳台,开放厨房",null,null
69㎡,https://sz.zu.ke.com//zufang/SZ2499967072307003392.html,天利明园大厦,2室1厅1卫,西南东北,2950 元/月,null,整租,"官方核验,随时看房",盐田港,盐田区
53㎡,https://sz.zu.ke.com//zufang/SZ2522496765035823104.html,水云间雅居,1室1厅1卫,东南南,2500 元/月,null,整租,"官方核验,随时看房",梅沙,盐田区
43㎡,https://sz.zu.ke.com//zufang/SZ2522994890393534464.html,花样年花港家园,1室1厅1卫,南北,2400 元/月,null,整租,"官方核验,精装,随时看房",盐田港,盐田区
38㎡,https://sz.zu.ke.com//zufang/SZ2309899809433059328.html,云顶天海,1室1厅1卫,西南,3200 元/月,null,整租,官方核验,梅沙,盐田区
14㎡,https://sz.zu.ke.com//zufang/SZ2397918136868544512.html,碧湖花园,1室1厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁",洪湖,罗湖区
11㎡,https://sz.zu.ke.com//zufang/SZ2249710760886272000.html,泰和花园,4室1厅1卫,西,1630 元/月,null,合租,"公寓,近地铁,精装,押一付一,随时看房",布心,罗湖区
18㎡,https://sz.zu.ke.com//zufang/SZ2288882461628964864.html,碧波花园南区,1室0厅1卫,东南,1900 元/月,null,整租,"官方核验,近地铁,精装,随时看房",黄贝岭,罗湖区
7㎡,https://sz.zu.ke.com//zufang/SZ2315349906548080640.html,锦上花家园,3室1厅1卫,东北,1790 元/月,null,合租,"公寓,近地铁,精装,押一付一,随时看房",黄贝岭,罗湖区
30㎡,https://sz.zu.ke.com//zufang/SZ2549821826523987968.html,梅州大厦,1室0厅1卫,南,3000 元/月,null,整租,"官方核验,近地铁,随时看房",西丽,南山区
9㎡,https://sz.zu.ke.com//zufang/SZ2556580787147784192.html,学府花园,4室1厅1卫,西,2260 元/月,null,合租,"新上,公寓,近地铁,精装,押一付一,随时看房",南山中心,南山区
32㎡,https://sz.zu.ke.com//zufang/SZ2550607099277082624.html,深华园南山区,2室1厅1卫,南,3300 元/月,null,整租,"官方核验,业主自荐,精装",南山中心,南山区
17㎡,https://sz.zu.ke.com//zufang/SZ2333855288790360064.html,莲花北村,1室0厅1卫,西南,1700 元/月,null,合租,"官方核验,近地铁",莲花,福田区
128㎡,https://sz.zu.ke.com//zufang/SZ2435326998726852608.html,凯丰花园一期,6室1厅2卫,南北,1600 元/月,null,合租,"官方核验,近地铁,精装,随时看房",梅林,福田区
8㎡,https://sz.zu.ke.com//zufang/SZ2181840529779081216.html,碧荔花园,4室1厅2卫,南,1690 元/月,null,合租,"公寓,近地铁,精装,押一付一,随时看房",梅林,福田区
32㎡,https://sz.zu.ke.com//zufang/SZ2542696829846290432.html,南油B区,1室0厅1卫,东南,2280 元/月,null,整租,"官方核验,近地铁,随时看房",后海,南山区
61㎡,https://sz.zu.ke.com//zufang/SZ2554932270460829696.html,众冠花园,2室2厅1卫,北,5500 元/月,null,整租,"官方核验,新上,近地铁",西丽,南山区
48㎡,https://sz.zu.ke.com//zufang/SZ2553669608116854784.html,诺德假日花园,2室1厅1卫,西北,5100 元/月,null,整租,"官方核验,业主自荐,新上,精装",前海,南山区
17㎡,https://sz.zu.ke.com//zufang/SZ2505784735801024512.html,景贝南小区,1室0厅1卫,南,1600 元/月,null,合租,"官方核验,随时看房",黄贝岭,罗湖区
12㎡,https://sz.zu.ke.com//zufang/SZ2540502626869985280.html,景贝南小区,1室0厅1卫,东南,1200 元/月,null,合租,"官方核验,近地铁,随时看房",黄贝岭,罗湖区
10㎡,https://sz.zu.ke.com//zufang/SZ2555755375374630912.html,马古岭小区,4室1厅1卫,南,2030 元/月,null,合租,"新上,公寓,近地铁,精装,独立阳台,押一付一,随时看房",翠竹,罗湖区
6㎡,https://sz.zu.ke.com//zufang/SZ2544349843984490496.html,春晖苑,3室1厅1卫,北,1790 元/月,null,合租,"公寓,近地铁,精装,押一付一,随时看房",莲花,福田区
44㎡,https://sz.zu.ke.com//zufang/SZ2552806939482931200.html,七街公馆,1室1厅1卫,北,4500 元/月,null,整租,"官方核验,新上,近地铁,随时看房",香梅北,福田区
18㎡,https://sz.zu.ke.com//zufang/SZ2549354736055238656.html,林海山庄,1室0厅1卫,南,1500 元/月,null,合租,"公寓,独立卫生间,月租,押一付一,随时看房",梅林,福田区
55㎡,https://sz.zu.ke.com//zufang/SZ2513594311191838720.html,万科东海岸,1室1厅1卫,西,2900 元/月,null,整租,"官方核验,精装,随时看房",梅沙,盐田区
176㎡,https://sz.zu.ke.com//zufang/SZ2079636301946568704.html,金山碧海花园,4室3厅4卫,东南,3000 元/月,null,整租,官方核验,盐田港,盐田区
107㎡,https://sz.zu.ke.com//zufang/SZ2543965711689326592.html,翠景花园,1室0厅1卫,东南,1600 元/月,null,整租,"官方核验,随时看房",沙头角,盐田区
42㎡,https://sz.zu.ke.com//zufang/SZ2420809094463234048.html,泊岸雅苑,1室1厅1卫,东南,2500 元/月,null,整租,官方核验,梅沙,盐田区
42㎡,https://sz.zu.ke.com//zufang/SZ2360638197379645440.html,泊岸雅苑,1室0厅1卫,东南,2500 元/月,null,整租,"官方核验,精装",梅沙,盐田区
34㎡,https://sz.zu.ke.com//zufang/SZ2530517721905635328.html,华逸园,1室1厅1卫,南,2500 元/月,null,整租,官方核验,沙头角,盐田区
25㎡,https://sz.zu.ke.com//zufang/SZ2503756600569757696.html,景贝南小区,3室1厅1卫,东南,1600 元/月,null,整租,"官方核验,随时看房",黄贝岭,罗湖区
28㎡,https://sz.zu.ke.com//zufang/SZ2508618543411494912.html,旭飞华天苑,1室1厅1卫,北,2100 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
20㎡,https://sz.zu.ke.com//zufang/SZ2542841292472188928.html,马古岭小区,3室1厅1卫,南,2200 元/月,null,整租,"官方核验,近地铁",翠竹,罗湖区
38㎡,https://sz.zu.ke.com//zufang/SZ2550548111902638080.html,南油B区,1室1厅1卫,南,3500 元/月,null,整租,"官方核验,精装,随时看房",后海,南山区
38㎡,https://sz.zu.ke.com//zufang/SZ2553613710736498688.html,万象新园,1室1厅1卫,南,5300 元/月,null,整租,"官方核验,新上,精装,随时看房",南山中心,南山区
35㎡,https://sz.zu.ke.com//zufang/SZ2550605911265910784.html,荔馨村南山区,1室1厅1卫,南,3300 元/月,null,整租,"官方核验,业主自荐,精装",南头,南山区
33㎡,https://sz.zu.ke.com//zufang/SZ2554827789106675712.html,丽岛茗园,1室1厅1卫,北,3500 元/月,null,整租,"官方核验,新上,近地铁,随时看房",大学城,南山区
20㎡,https://sz.zu.ke.com//zufang/SZ2541082550751993856.html,彩虹新都,1室0厅0卫,东,1600 元/月,null,合租,官方核验,福田中心,福田区
15㎡,https://sz.zu.ke.com//zufang/SZ2346953307073028096.html,福华新村,4室1厅1卫,西南,3000 元/月,null,合租,"租住保障,公寓,月租,近地铁,精装,随时看房",福田中心,福田区
40㎡,https://sz.zu.ke.com//zufang/SZ2533255105445371904.html,笔架山庄,2室1厅1卫,南,2000 元/月,null,整租,官方核验,黄木岗,福田区
58㎡,https://sz.zu.ke.com//zufang/SZ2554831062324740096.html,金竹园,2室1厅1卫,南,5300 元/月,null,整租,"官方核验,业主自荐,新上",蛇口,南山区
66㎡,https://sz.zu.ke.com//zufang/SZ2551941056904306688.html,松坪村二期,3室1厅1卫,东南,5300 元/月,null,整租,"官方核验,随时看房",科技园,南山区
15㎡,https://sz.zu.ke.com//zufang/SZ2523975694997004288.html,旭飞华天苑,1室0厅1卫,北,1600 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
11㎡,https://sz.zu.ke.com//zufang/SZ2555718026297352192.html,马古岭小区,4室1厅1卫,南,1930 元/月,null,合租,"新上,公寓,近地铁,精装,独立阳台,押一付一,随时看房",翠竹,罗湖区
109㎡,https://sz.zu.ke.com//zufang/SZ2551352255810895872.html,华民大厦,1室0厅1卫,东南,2200 元/月,null,整租,"官方核验,近地铁",罗湖口岸,罗湖区
39㎡,https://sz.zu.ke.com//zufang/SZ2552853692324265984.html,旭飞花园,1室1厅1卫,西南,3700 元/月,null,整租,"官方核验,新上,随时看房",八卦岭,福田区
11㎡,https://sz.zu.ke.com//zufang/SZ2085340308425408512.html,新中苑,5室1厅2卫,南,1750 元/月,null,合租,"租住保障,公寓,月租,近地铁,精装",新洲,福田区
7㎡,https://sz.zu.ke.com//zufang/SZ2547027123248570368.html,莲花北村,4室1厅1卫,南,1590 元/月,null,合租,"公寓,独立卫生间,月租,近地铁,押一付一,随时看房",莲花,福田区
53㎡,https://sz.zu.ke.com//zufang/SZ2411605808401367040.html,水云间雅居,1室1厅1卫,南,3100 元/月,null,整租,"官方核验,精装,随时看房",梅沙,盐田区
26㎡,https://sz.zu.ke.com//apartment/27782.html,null,1室1厅1卫,1间在租,1898 元/月,仅剩1间,独栋,"独栋公寓,月租,有阳台,开放厨房",null,null
31㎡,https://sz.zu.ke.com//zufang/SZ2507928346311540736.html,碧桐湾,1室1厅1卫,西南,2800 元/月,null,整租,官方核验,沙头角,盐田区
33㎡,https://sz.zu.ke.com//zufang/SZ2512409903495659520.html,倚山时代雅居,2室1厅1卫,东北,3200 元/月,null,整租,"官方核验,随时看房",盐田港,盐田区
38㎡,https://sz.zu.ke.com//zufang/SZ2538328641092460544.html,碧桐湾,1室1厅1卫,东,3200 元/月,null,整租,"官方核验,精装,随时看房",沙头角,盐田区
20㎡,https://sz.zu.ke.com//zufang/SZ2436889103682781184.html,聚龙大厦,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,近地铁,随时看房",螺岭,罗湖区
40㎡,https://sz.zu.ke.com//zufang/SZ2526578748351332352.html,清水河生活小区,1室1厅1卫,南,1700 元/月,null,整租,"官方核验,近地铁,随时看房",清水河,罗湖区
40㎡,https://sz.zu.ke.com//zufang/SZ2475391939436871680.html,集浩花园,1室0厅2卫,东,2500 元/月,null,合租,"官方核验,近地铁,精装",黄贝岭,罗湖区
46㎡,https://sz.zu.ke.com//zufang/SZ2550066635877138432.html,万象新园,1室1厅1卫,东,5400 元/月,null,整租,"官方核验,精装,随时看房",南山中心,南山区
49㎡,https://sz.zu.ke.com//zufang/SZ2551632294742073344.html,诺德假日花园,2室1厅1卫,东南,5100 元/月,null,整租,"官方核验,精装,随时看房",前海,南山区
9㎡,https://sz.zu.ke.com//zufang/SZ2555269728273186816.html,京基御景峯,2室1厅1卫,南,1698 元/月,null,合租,"新上,租住保障,公寓,近地铁,精装,随时看房",大学城,南山区
16㎡,https://sz.zu.ke.com//zufang/SZ2498332736897417216.html,城市3米6公寓,1室0厅1卫,南,2000 元/月,null,整租,"官方核验,随时看房",福田保税区,福田区
31㎡,https://sz.zu.ke.com//zufang/SZ2487600629485682688.html,鹏盛村,1室0厅1卫,南,2100 元/月,null,整租,"官方核验,近地铁,随时看房",八卦岭,福田区
30㎡,https://sz.zu.ke.com//zufang/SZ2491391156479598592.html,居雅苑,1室0厅0卫,南,2000 元/月,null,整租,"官方核验,近地铁",皇岗,福田区
35㎡,https://sz.zu.ke.com//zufang/SZ2555596711565737984.html,深华园南山区,1室1厅1卫,南,3800 元/月,null,整租,"官方核验,新上",南山中心,南山区
15㎡,https://sz.zu.ke.com//zufang/SZ2390704723650158592.html,西湖林语,5室1厅2卫,南,2690 元/月,null,合租,"公寓,近地铁,精装,独立阳台,押一付一,随时看房",大学城,南山区
